Investor name,Website,Global HQ
Second Working District,http://www.secondworkingdistrict.com/en/,"Palo Alto, California, United States"
Sega Sammy Holdings,https://www.segasammy.co.jp/english/,
ServiceNow Ventures,https://www.servicenow.com/company/ventures.html,
Sesame Ventures,http://www.sesameworkshop.org/sesame-ventures/,"New York, New York, United States"
SevenVentures,http://sevenventures.de,"Unterföhring, Bayern, Germany"
SG Incubate,https://sg-incubate.jp/,
Shanda Capital,http://www.shandacapital.com.cn/,"Shanghai, Shanghai, China"
Shibumi International by Gülermak Heavy Industries Construction and Contracting,http://www.shibumi-international.com/,UAE
SHS Ventures,http://www.stahl-holding-saar.de,"Völklingen, Saarland, Germany"
Siemens Technology Accelerator,https://new.siemens.com/global/en/products/services/technology-accelerator.html,"Munich, Bayern, Germany"
Signals Pre-Seed,https://hellosignals.com/signals-pre-seed-program,"Am Nordbahnhof 3, 10178 Berlin, Germany"
Simon Ventures,http://simonventures.co/,"New York, New York, United States"
Sinclair Digital Ventures,http://sinclairvc.com,"Seattle, Washington, United States"
Sitra,http://www.sitra.fi,"Helsinki, Southern Finland, Finland"
Slack Fund,https://slack.com/developers/fund,"Daly City, California, United States"
Softline Venture Partners,http://softlinevp.com/vp/en,"Moscow, Moscow City, Russian Federation"
Sonae IM,http://www.sonaeim.com/en/,"Maia, Porto, Portugal"
Sound Ventures,http://www.sound-ventures.com/,"Los Angeles, California, United States"
Stanley Ventures,https://www.stanleyventures.com,"Atlanta, Georgia, United States"
Stargate Capital Investment Group,http://www.stargatecapital.co.uk,"London, England, United Kingdom"
Steamboat Ventures,http://steamboatvc.com,"Glendale, California, United States"
SternAegis Ventures,http://www.sternaegis.com/,"New York, New York, United States"
Suning Investment,http://www.suningholdings.com/cms/snInvestment/index.htm,"Shanghai, Shanghai, China"
Superseed Ventures,https://superseed.ventures,"Melbourne, Victoria, Australia"
Symantec Ventures,https://www.symantec.com/symantec-ventures,
Synchrony Ventures,https://www.synchrony.com/ventures.html,"San Francisco, California, United States"
T Fund,http://www.tfund.capital/,"San Mateo, California, United States"
Takeda Ventures,http://www.takedaventures.com/,"Palo Alto, California, United States"
TCL Capital,http://capital-en.tcl.com,"Shenzhen, Guangdong, China"
TDK Ventures,http://www.tdk-ventures.com/,"San Jose, California, United States"
Tekfen Ventures,http://tekfenventures.com/,"New York, New York, United States"
The 13 Ventures,http://www.the13ventures.com,"New York, New York, United States"
The McClatchy Company,http://www.mcclatchy.com,"Sacramento, California, United States"
Tikehau Investment Management,http://www.tikehauim.com,"Paris, Ile-de-France, France"
TIM Ventures,http://timventures.tim.it/,"Milano, Lombardia, Italy"
Time Warner Investments,http://www.timewarner.com/our-company/tw-investments,"New York, New York, United States"
Tin Shed Ventures,http://www.tinshedventures.com/,"Ventura, California, United States"
TIS,http://www.tis.com/,
TMI Telkomsel Mitra Inovasi,https://www.tmi.id,"Jakarta, Jakarta Raya, Indonesia"
TNG Fintech Group Inc.,http://www.tngfintech.com,"Hong Kong, Hong Kong Island, Hong Kong"
Tokyu Corporation,http://www.tokyu.co.jp/global/english/index.html,
Tomorrow Capital,http://www.tomorrowcapital.in,"Mumbai, Maharashtra, India"
Transamerica Ventures,http://www.transamericaventures.com,"New York, New York, United States"
Triaxis Capital,http://www.triaxiscapital.com,"Nova Lima, Minas Gerais, Brazil"
Trinnovate Ventures,http://www.trinnovateventures.com,
Tsuneishi Capital Partners,http://www.tsuneishi-g.jp/english/,
UL Ventures,https://www.ul.com/about/ventures,"Northbrook, Illinois, United States"
Union Tech Ventures,http://uniontech.co.il/,
UnityPoint Health Ventures,https://unitypointhealthventures.org/,"West Des Moines, Iowa, United States"
UPS Ventures,http://www.ups.com/sef,"Atlanta, Georgia, United States"
USAA Corporate Development,https://usaacorpdev.com/,"San Antonio, Texas, United States"
UTA Ventures,http://ventures.unitedtalent.com/,"Beverly Hills, California, United States"
Van Herk Ventures,http://www.vanherkgroep.nl,"Rotterdam, Zuid-Holland, The Netherlands"
VCCorp,https://vccorp.vn/,
Ventech China,http://www.ventechchina.com/,"Shanghai, Shanghai, China"
Verizon Ventures,http://www.verizonventures.com,"Basking Ridge, New Jersey, United States"
Viking Capital,http://www.vikingcapital.co,"Beijing, Beijing, China"
Vodafone Ventures,https://www.vodafone.com/business/why-vodafone/vodafone-business-ventures,UK
Vogel Ventures,http://vogelventures.de/,"Berlin, Berlin, Germany"
Volvo Cars Tech Fund,https://group.volvocars.com/company/innovation/volvo-cars-tech-fund,"Mountain View, California, United States"
Voyage Ventures,https://voyage-ventures.com/en/,
W23 by Woolworths,https://www.w23.vc/,Australia
Wadhawan Global Capital,http://www.wgcworld.com/,"Mumbai, Maharashtra, India"
Wells Fargo Strategic Capital,https://www.wellsfargo.com/com/financing/strategic-capital/,"Houston, Texas, United States"
Western Digital Capital,https://www.westerndigital.com/,"Irvine, California, United States"
Winton Ventures,https://www.winton.com/ventures,"London, England, United Kingdom"
Workday Ventures,https://ventures.workday.com/,"San Francisco, California, United States"
WPP Ventures,http://www.wppventures.com,"London, England, United Kingdom"
Y Soft Ventures,http://www.ysoftventures.com,"Brno, Jihomoravsky kraj, Czech Republic"
Yamato Holdings,http://www.yamato-hd.co.jp/english/index.html,
Yet2Ventures,http://www.yet2ventures.com,"Wilmington, Delaware, United States"
YJ Capital,http://yj-capital.co.jp/en/,"Tokyo, Tokyo, Japan"
You & Mr Jones Brandtech Ventures,http://www.youandmrjones.com/,"New York, New York, United States"
Z Corporation,https://z-corp.jp/,
Zaffre Investments,http://www.zaffreinvestments.com,"Boston, Massachusetts, United States"
Zhangjiang Torch Venture Capital Co,http://www.zjhjf.com,"Shanghai, Shanghai, China"
Zhengzhou Runner Electric (ZZRunner),http://www.runnerelec.com/,"Zhengzhou, Henan, China"
Zhongcai Financial Holding Investment,http://www.zcfhi.net/,"Beijing, Beijing, China"
Zing Capital,http://zingcapital.com,"Vancouver, Washington, United States"
zVentures by Razer,https://www.zvntrs.com,"San Francisco, California, United States"
Saison Capital,https://saisoncapital.com/,"Singapore, Singapore 018960, SG"
Deutsche Telekom Hubraum Fund,http://www.hubraum.com/investment,"Winterfeldtstr. 21, 10781 Berlin, Germany"
Allegion Ventures,https://www.allegion.com/corp/en/ventures.html,"11819 N Pennsylvania St, Carmel, IN 46032"
Altavia Adventures,https://www.linkedin.com/company/altavia-adventures/,"2, Place du Colonel Fabien, Paris, Île-de-France 75019, FR"
Burda Principal Investments,http://www.burdaprincipalinvestments.com/,"Arabellastraße 23, Munich, 81925, DE"
Deutsche Bahn Digital Ventures,https://deutschebahnventures.de/,"Berlin, Berlin, Germany"
Henkel Ventures,https://www.henkel-ventures.com/,"Düsseldorf, Nordrhein-Westfalen, Germany"
SIX Fintech Ventures,https://www.six-group.com/en/company/innovation/start-ups.html,"Hardturmstrasse 201, 8005 Zurich, Switzerland"
MAIF Impact,https://entreprise.maif.fr/engagements/economie-responsable/maif-impact,"156 rue de l'université, Paris"
Hyundai CRADLE,https://www.cradleinc.com/,"Seoul, South Korea"
Baloise Mobility,https://www.baloise.com/mobility,"Aeschengraben 21, Basel, 4002, CH"
Protocol Labs,https://protocol.ai/,"San Francisco, California 94102, US"
